Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,rent_pct_nycha,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb
Chelsea/Clinton/Midtown,2000.0,0.202363471085846,,,,,,0.242338983049194,,,0.143574756457383,122241.0,0.09846123641,0.0659107828,0.1682905081,0.6353842001,31.0
Stuyvesant Town/Turtle Bay,2000.0,0.263124475586665,,,,,,0.224824902723412,,,0.078764429515104,143441.0,0.1074379013,0.03798774409,0.06954775831,0.7624458837,32.0
Upper West Side,2000.0,0.292430578392668,,,,,,0.219518796991906,,,0.100120761431754,192213.0,0.05568822088,0.08479655382,0.1453075494,0.6901042073,33.0
Upper East Side,2000.0,0.307023330649827,,,,,,0.225882352940971,,,0.0653192105974085,217063.0,0.06312453067,0.03182025495,0.06001022745,0.8262808493,34.0
Brownsville/Ocean Hill,2000.0,0.16776427102559,,,,,,0.299999999999272,,,0.425514346057753,116790.0,0.00560835688,0.7592516483,0.2036390102,0.00688415104,26.0
East Flatbush,2000.0,0.320734875662311,,,,,,0.289263157894311,,,0.194405827725859,145263.0,0.00994747458,0.8865024129,0.05386092811,0.0147663204,27.0
Flatlands/Canarsie,2000.0,0.547005450120196,,,,,,0.251612903222849,,,0.122126340092109,194836.0,0.03661540988,0.5097928514,0.08076536164,0.3441509783,28.0
Astoria,2000.0,0.199976400868763,,,,,,0.252972972972202,,,0.203125570906195,205469.0,0.1253668437,0.1041032954,0.2746886392,0.4194744706,39.0
Sunnyside/Woodside,2000.0,0.252133756646799,,,,,,0.251999999996769,,,0.163969150553385,130166.0,0.2991026843,0.01906027688,0.3454050981,0.294854263,40.0
Jackson Heights,2000.0,0.331176838528336,,,,,,0.271999999997206,,,0.193415546131291,181370.0,0.1360423444,0.09704471522,0.5901306721,0.1423774604,41.0
Elmhurst/Corona,2000.0,0.217907153202759,,,,,,0.278571428571013,,,0.192407315164019,142022.0,0.2818718227,0.08248722029,0.4915506048,0.1111940404,42.0
Middle Village/Ridgewood,2000.0,0.404825264504325,,,,,,0.247058823528278,,,0.137656503122344,167201.0,0.06331899929,0.01005974845,0.280799756,0.6221314466,43.0
Rego Park/Forest Hills,2000.0,0.382506253219617,,,,,,0.24777327935044,,,0.111820123544931,113422.0,0.2140590009,0.02157429776,0.1129498686,0.6171642186,44.0
Flushing/Whitestone,2000.0,0.472700972200983,,,,,,0.266249999996944,,,0.132446176472513,243690.0,0.3608888342,0.02819976199,0.1683942714,0.4116910829,45.0
Hillcrest/Fresh Meadows,2000.0,0.437864611994883,,,,,,0.236111111109494,,,0.105629136810421,148712.0,0.2372303513,0.1454220238,0.1627508204,0.3899954274,46.0
Ozone Park/Woodhaven,2000.0,0.415942658557469,,,,,,0.271952662718832,,,0.147414114549974,143120.0,0.1606693684,0.06931246506,0.3556246506,0.288764673,47.0
South Ozone Park/Howard Beach,2000.0,0.630425241390185,,,,,,0.26111999999921,,,0.114505619038027,128079.0,0.1281865099,0.1662801864,0.2074735124,0.3369092513,48.0
Bayside/Little Neck,2000.0,0.672949920524843,,,,,,0.248399999998583,,,0.0651845717193282,116749.0,0.2639337382,0.01967468672,0.08944830363,0.6032085928,49.0
Jamaica,2000.0,0.506462082354119,,,,,,0.268173913042119,,,0.169593817263376,218993.0,0.04682341445,0.7266259652,0.1361550369,0.0213385816,50.0
Queens Village,2000.0,0.72328186010418,,,,,,0.233419354837679,,,0.0721986649741666,196428.0,0.1001741096,0.5571558026,0.1030097542,0.1835838068,51.0
Rockaways,2000.0,0.350664433877682,,,,,,0.253584905658499,,,0.223516421234308,106738.0,0.01583316157,0.399829489,0.1765163297,0.3730817516,52.0
North Shore,2000.0,0.51947440058575,,,,,,0.247328244273376,,,0.15730209782123,162609.0,0.05224803055,0.2164025361,0.197971822,0.4997509363,53.0
Mid-Island,2000.0,0.644588291703258,,,,,,0.238414096915221,,,0.0907878123725823,128177.0,0.0880501182,0.024949874,0.09678803529,0.7705360556,54.0
South Shore,2000.0,0.759148119577731,,,,,,0.242399999999179,,,0.0490126335480454,152942.0,0.03271828536,0.008611107479,0.05853199252,0.8911025094,55.0
Greenwich Village/Financial District,2000.0,0.258665498611663,,,,,,0.231718309858479,,,0.0994624570475935,125567.0,0.1454681564,0.0305494278,0.05851855981,0.7362125399,29.0
Lower East Side/Chinatown,2000.0,0.120215989544704,,,,,,0.266249999996944,,,0.284300754679862,166379.0,0.3484454168,0.07459475054,0.2699319025,0.2805402124,30.0
Morningside Heights/Hamilton Heights,2000.0,0.109350502748384,,,,,,0.268623853207828,,,0.301457789380947,129533.0,0.05204851273,0.2910995654,0.4265399551,0.2026510619,35.0
Central Harlem,2000.0,0.0658016482684616,,,,,,0.266666666666424,,,0.364278824748908,109091.0,0.008359993033,0.7725568562,0.1682173598,0.02067081611,36.0
East Harlem,2000.0,0.0629264952412996,,,,,,0.267469879516284,,,0.371074987451721,115433.0,0.02733187217,0.3487044433,0.5284017569,0.07347119108,37.0
Washington Heights/Inwood,2000.0,0.0645686919060608,,,,,,0.260869565216126,,,0.297576787295839,208414.0,0.02043048931,0.08387152494,0.7409003234,0.1355091309,38.0
Mott Haven/Hunts Point,2000.0,0.0744206029066845,,,,,,0.278571428571013,,,0.455342716875748,130448.0,0.004415552557,0.2445112229,0.7246105728,0.01296301975,1.0
Morrisania/Belmont,2000.0,0.0851892734235662,,,,,,0.29195876288577,,,0.455184779650153,141685.0,0.008088365035,0.3445177683,0.5730317253,0.05426121325,2.0
Highbridge/South Concourse,2000.0,0.0690286551307508,,,,,,0.287999999996828,,,0.399540368165617,132445.0,0.01227679414,0.365366756,0.5815168561,0.01470044169,3.0
University Heights/Fordham,2000.0,0.0477823829255613,,,,,,0.314285714284779,,,0.406337921642262,133890.0,0.01550526552,0.324990664,0.6165284935,0.01437000523,4.0
Kingsbridge Heights/Mosholu,2000.0,0.073792813336695,,,,,,0.295958549220813,,,0.343183100550959,132672.0,0.06588428606,0.1919998191,0.5972473468,0.1076715509,5.0
Riverdale/Kingsbridge,2000.0,0.263815049303957,,,,,,0.237804878048337,,,0.186511580450315,113003.0,0.04910489102,0.1389963098,0.3824323248,0.4032105342,6.0
Soundview/Parkchester,2000.0,0.20154575964807,,,,,,0.263999999999214,,,0.286321503852378,175432.0,0.03895526472,0.3214065849,0.5520771581,0.04865132929,7.0
Throgs Neck/Co-op City,2000.0,0.454988044202764,,,,,,0.21486573576658,,,0.101251976320782,111661.0,0.01696205479,0.2397345537,0.2340835207,0.4885412096,8.0
Pelham Parkway,2000.0,0.277590040015639,,,,,,0.264782608694077,,,0.175023684736516,119960.0,0.0636462154,0.1918056019,0.3467822608,0.3590863621,9.0
Williamsbridge/Baychester,2000.0,0.359197241548827,,,,,,0.273551020407467,,,0.194373742155221,136494.0,0.01889460343,0.6642196727,0.1756853781,0.1010007766,10.0
Williamsburg/Greenpoint,2000.0,0.145050852886925,,,,,,0.272727272724296,,,0.337663439109747,142098.0,0.03907866402,0.04025390927,0.3410181706,0.5247645991,11.0
Brooklyn Heights/Fort Greene,2000.0,0.263494000406354,,,,,,0.237773052385819,,,0.245056286450563,115106.0,0.04228276545,0.4175716296,0.1925008253,0.3109481695,12.0
Bedford Stuyvesant,2000.0,0.191571689882039,,,,,,0.292537313431239,,,0.359182512049301,121054.0,0.008392948601,0.7490789235,0.1895682918,0.02444363672,13.0
Bushwick,2000.0,0.137435641918273,,,,,,0.315999999998894,,,0.381607124643779,120710.0,0.02783530776,0.23430536,0.6780631265,0.03135614282,14.0
East New York/Starrett City,2000.0,0.234110350726041,,,,,,0.283969465646805,,,0.312528911010304,146857.0,0.03939887101,0.4569547247,0.3909789796,0.0595477233,15.0
Park Slope/Carroll Gardens,2000.0,0.287294102719898,,,,,,0.236966824642877,,,0.143914725711511,105555.0,0.04686656246,0.1120458529,0.241788641,0.5599071574,16.0
Sunset Park,2000.0,0.25221893491107,,,,,,0.274999999997817,,,0.263330324120034,139269.0,0.2178661439,0.03404921411,0.479065693,0.2303527705,17.0
North Crown Heights/Prospect Heights,2000.0,0.160190647173295,,,,,,0.259999999998399,,,0.281620971418306,123117.0,0.01542435245,0.7813055874,0.0981749068,0.07409212375,18.0
South Crown Heights,2000.0,0.149948861226221,,,,,,0.280331950205436,,,0.240279958723477,112670.0,0.007721665039,0.7902991036,0.08237330256,0.0861897577,19.0
Bay Ridge,2000.0,0.335617116492358,,,,,,0.235919999999169,,,0.139495248009553,119871.0,0.1358960883,0.0108700186,0.1084832862,0.6948302759,20.0
