Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Chelsea/Clinton/Midtown,2000.0,0.202363471085846,,,,,,0.242338983049194,,0.143574756457383,122241.0,0.09846123641,0.0659107828,0.1682905081,0.6353842001,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,936890.8517482665,,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,0.0,64830.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
Stuyvesant Town/Turtle Bay,2000.0,0.263124475586665,,,,,,0.224824902723412,,0.078764429515104,143441.0,0.1074379013,0.03798774409,0.06954775831,0.7624458837,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,4423238.08219178,567107.103024658,,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,21.0,1683.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
Upper West Side,2000.0,0.292430578392668,,,,,,0.219518796991906,,0.100120761431754,192213.0,0.05568822088,0.08479655382,0.1453075494,0.6901042073,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,10083483.424657501,843414.04109589,,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,24.0,198.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
Upper East Side,2000.0,0.307023330649827,,,,,,0.225882352940971,,0.0653192105974085,217063.0,0.06312453067,0.03182025495,0.06001022745,0.8262808493,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,7571983.835616441,977610.58630137,,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,420.0,4480.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
Brownsville/Ocean Hill,2000.0,0.16776427102559,,,,,,0.299999999999272,,0.425514346057753,116790.0,0.00560835688,0.7592516483,0.2036390102,0.00688415104,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,224910.41095890396,125883.856416438,,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,70.0,2.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
East Flatbush,2000.0,0.320734875662311,,,,,,0.289263157894311,,0.194405827725859,145263.0,0.00994747458,0.8865024129,0.05386092811,0.0147663204,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,280388.312328767,191923.550684932,,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,173.0,3.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
Flatlands/Canarsie,2000.0,0.547005450120196,,,,,,0.251612903222849,,0.122126340092109,194836.0,0.03661540988,0.5097928514,0.08076536164,0.3441509783,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,329868.6027397261,220412.20273972602,,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,2424.0,213.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
Astoria,2000.0,0.199976400868763,,,,,,0.252972972972202,,0.203125570906195,205469.0,0.1253668437,0.1041032954,0.2746886392,0.4194744706,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,374850.684931507,204293.62328767104,,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,558.0,216.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
Sunnyside/Woodside,2000.0,0.252133756646799,,,,,,0.251999999996769,,0.163969150553385,130166.0,0.2991026843,0.01906027688,0.3454050981,0.294854263,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,369602.77534246596,165684.00273972598,,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,228.0,48.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
Jackson Heights,2000.0,0.331176838528336,,,,,,0.271999999997206,,0.193415546131291,181370.0,0.1360423444,0.09704471522,0.5901306721,0.1423774604,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,359856.657534247,187425.34246575303,,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,495.0,99.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
