gid,crowding_number,crowding_percent,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)",Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)",Bicycle Injury Hospitalizations_Number,"Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)",Pedestrian Injury Hospitalizations_Number,"Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)",Non-fatal Assault Hospitalizations_Number,"Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",Chronic Obstructive Pulmonary Disease  Hospitalization_Number,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total
39,4656.0,6.4,,,,7463.0,5.0,113246.0,84.6,210.6,7.0,,,,,,,,,,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2
20,5025.0,10.5,,,,5819.0,5.8,74082.0,81.1,298.7,7.8,,,,,,,,,,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6
49,1467.0,3.4,,,,4454.0,4.5,80671.0,88.8,251.6,6.2,,,,,,,,,,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6
13,4417.0,8.5,,,,5014.0,4.7,74790.0,80.7,161.0,7.0,,,,,,,,,,310.6,49.2,55.6,23.6,42.0,70.4,53.0,27.0,30.4,57.4,4.3,4.2,4.1,3.4,2.2,5.2
51,2877.0,4.8,,,,8234.0,5.0,127658.0,87.8,143.3,6.6,,,,,,,,,,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0
21,8615.0,13.5,,,,10331.0,6.8,101318.0,73.7,203.5,8.4,,,,,,,,,,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4
22,9295.0,20.3,,,,7641.0,7.3,69081.0,76.9,222.7,13.8,,,,,,,,,,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8
12,3551.0,6.1,,,,5358.0,4.7,91088.0,89.5,210.5,5.0,,,,,,,,,,339.6,54.8,58.2,24.8,43.8,49.0,45.9,28.2,22.2,50.4,3.3,6.5,4.8,2.6,3.4,6.0
26,3301.0,7.4,,,,5948.0,6.6,57762.0,74.7,159.6,6.4,,,,,,,,,,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0
14,5335.0,11.6,,,,4743.0,4.4,61859.0,69.3,176.9,6.4,,,,,,,,,,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4
36,3496.0,6.2,,,,6941.0,6.3,78574.0,81.6,214.3,6.6,,,,,,,,,,373.7,46.4,68.4,22.0,60.2,85.0,68.7,40.4,36.2,76.6,2.6,4.1,3.3,1.6,2.4,4.0
31,3507.0,4.1,,,,3959.0,2.8,118021.0,94.3,289.7,4.0,,,,,,,,,,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0
23,4394.0,9.6,,,,11829.0,13.1,68009.0,81.8,244.0,6.0,,,,,,,,,,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4
27,4031.0,8.2,,,,4567.0,4.3,81377.0,85.7,184.4,6.4,,,,,,,,,,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4
37,3812.0,7.7,,,,7268.0,7.4,63957.0,74.3,194.7,6.2,,,,,,,,,,306.2,39.1,63.0,16.0,49.3,84.8,62.5,37.0,40.4,77.4,3.2,6.3,4.6,2.2,3.6,5.8
15,7798.0,14.3,,,,8422.0,7.2,79236.0,78.6,165.5,8.2,,,,,,,,,,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2
42,9362.0,22.0,,,,5840.0,5.3,70492.0,71.1,196.3,7.0,,,,,,,,,,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4
24,7947.0,13.8,,,,7892.0,6.5,88044.0,82.6,207.8,9.2,,,,,,,,,,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6
28,5029.0,7.3,,,,8570.0,5.3,125777.0,87.6,167.2,8.8,,,,,,,,,,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2
45,8016.0,9.2,,,,10058.0,4.9,146148.0,77.1,163.7,8.0,,,,,,,,,,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4
44,3634.0,7.0,,,,6020.0,6.3,83010.0,92.0,230.2,4.6,,,,,,,,,,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6
29,4429.0,5.7,,,,3156.0,2.3,117469.0,96.0,241.7,5.6,,,,,,,,,,376.7,58.6,75.0,29.4,50.2,45.9,48.0,37.2,28.6,65.8,4.9,8.5,6.7,3.8,5.0,8.8
3,8174.0,16.7,,,,7197.0,6.9,57777.0,65.3,201.7,9.2,,,,,,,,,,282.1,39.7,52.4,19.4,36.0,73.6,55.6,29.2,34.0,63.2,5.2,3.9,4.5,3.8,2.2,6.0
46,5537.0,10.0,,,,6244.0,4.8,97041.0,85.5,208.7,8.0,,,,,,,,,,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6
48,3044.0,7.7,,,,7382.0,6.7,73994.0,76.9,223.1,7.0,,,,,,,,,,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4
41,10061.0,18.7,,,,5559.0,4.0,87710.0,70.8,198.5,9.4,,,,,,,,,,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4
