Year,GeoTypeName_x,Borough_x,Geography_x,sb,Indicator Name,Number,Percent of Households,GeoTypeName_y,Borough_y,Geography_y,gid,Sub-Borough Area
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Crowding (> 1 person/room),4656,6.4,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Astoria
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Crowding (> 1 person/room),4656,6.4,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Astoria
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Crowding (> 1 person/room),5025,10.5,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Bay Ridge
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Crowding (> 1 person/room),5025,10.5,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Bay Ridge
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Crowding (> 1 person/room),1467,3.4,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Bayside/Little Neck
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Crowding (> 1 person/room),1467,3.4,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Bayside/Little Neck
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Crowding (> 1 person/room),4417,8.5,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Bedford Stuyvesant
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Crowding (> 1 person/room),4417,8.5,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Bedford Stuyvesant
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Crowding (> 1 person/room),2877,4.8,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Bellerose/Rosedale
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Crowding (> 1 person/room),2877,4.8,Neighborhood (Community District),Queens, Queens Village (CD13),413,Bellerose/Rosedale
